SMILES,TARGET
C(=C(Cl)Cl)Cl,0.592
C(=O)N,3.3
C(=O)O,1.966
C(CO)O,21.0
C(Cl)(Cl)Cl,0.536
C(Cl)Cl,0.404
C1=CC=C(C=C1)Cl,0.76
C1=CC=NC=C1,0.88
C1CCC2=CC=CC=C2C1,2.14
C1CCCCC1,0.98
C1CCOC1,0.46
C1CCS(=O)(=O)C1,10.29
C1COCCO1,1.087
CC#N,0.358
CC(=O)C,0.303
CC(=O)N(C)C,0.927
CC(=O)O,1.13
CC(=O)OC,0.364
CC(C)(C)OC,0.34
CC(C)C1=CC=CC=C1,0.739
CC(C)CC(=O)C,0.546
CC(C)CCO,3.738
CC(C)CO,3.333
CC(C)COC(=O)C,0.397
CC(C)O,2.43
CC(C)OC(=O)C,0.52
CC1=CC=C(C=C1)C,0.605
CC1=CC=CC=C1,0.553
CC1CCCCC1,0.67
CCC(=O)C,0.378
CCC(C)O,2.998
CCCCC,0.225
CCCCC(=O)C,0.584
CCCCCC,0.294
CCCCCCC,0.412
CCCCCCCCCC,0.92
CCCCCCCCCCCCCC,2.32
CCCCCO,3.512
CCCCO,3.006
CCCCOC(=O)C,0.737
CCCO,1.943
CCCOC(=O)C,0.551
CCO,1.263
CCOC(=O)C,0.426
CCOC=O,0.412
CCOCC,0.242
CCOCCO,1.85
CN(C)C=O,0.802
CN1CCCC1=O,1.666
CO,0.59
COC1=CC=CC=C1,0.789
COCCO,1.57
COCCOC,0.455
CS(=O)C,1.991
C[C@@H](O)c1ccccc1,10.9
C[N+](=O)[O-],0.647
O,1.0
CC(=O)OCC(C)C,0.724
CCBr,0.3968
Fc1ccccc1,0.577
CC(=O)OCCC(C)C,0.872
Br/C=C\Br,0.96
S=C=S,0.367
C/C=C\CC,0.21
C1=CC=CC=CC=C1,1.37
C1=CCCCC1,0.66
C1=Cc2ccccc2C1,1.82
C1CCC(C2CCCCC2)CC1,3.75
C1CCCC1,0.44
C1CCCCC1,0.98
C1CCCCCCC1,2.56
C1CC[C@H]2CCCC[C@@H]2C1,2.12
C1CC[C@H]2CCCC[C@H]2C1,3.37
C=C(C)C(=O)OCC(C)C,1.0
C=C(C)C(=O)OCCCC,1.09
C=CC(=C)C,0.22
C=CC=C,0.47
C=CCCCCCCCCCCCCCC,1.67
C=CCO,1.37
C=CCOC(=O)/C=C\C(=O)OCC=C,4.5
CC(=O)CC(C)(C)O,3.38
CC(=O)OC(C)C,0.52
CC(C)C1CCCC1,0.71
CC(C)CC(C)C,0.49
CC(C)CCC(C)C,0.3
CC1CCCC1,0.51
CC1CCCCC1,0.73
CCC(C)(C)C(C)C,0.45
CCC(C)(C)CC,0.8
CCC(C)O,3.53
CCC(O)CO,8.95
CCC1CCCC1,0.57
CCC1CCCCC1,0.84
CCCC(=O)OC,0.58
CCCC1CCCCC1,1.01
CCCCC,0.23
CCCCC(C)(C)C,0.38
CCCCC1CCCCC1,1.31
CCCCCC,0.31
CCCCCCC,0.41
CCCCCCCC,0.54
CCCCCCCCCC,0.91
CCCCCCCCCC(C)C,1.79
CCCCCCCCCCC,1.17
CCCCCCCCCCCC,1.49
CCCCCCCCCCCC(=O)OC,2.19
CCCCCCCCCCCC(=O)OCC,3.33
CCCCCCCCCCCC(C)C,1.11
CCCCCCCCCCCCC,1.87
CCCCCCCCCCCCCC,2.31
CCCCCCCCCCCCCC(=O)OC(C)C,5.6
CCCCCCCCCCCCCCC,2.84
CCCCCCCCCCCCCCCC,3.49
CCCCCCCCCCOC(C)=O,2.73
CCCCCCCCCOC(C)=O,1.75
CCCCCCCCCc1ccccc1,3.18
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,12.9
CCCCCCCCOC(C)=O,1.85
CCCCCCCOC(C)=O,1.52
CCCCCCCc1ccccc1,0.65
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,9.14
CCCCCCOC(C)=O,1.17
CCCCCCc1cccc2ccccc12,8.84
CCCCCOC(C)=O,0.92
CCCCO,2.94
CCCCOC(=O)/C=C\C(=O)OCCCC,5.63
CCCCOC(=O)CCCC,1.23
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,9.36
CCCCOC(=O)c1ccccc1C(=O)OCCCC,19.91
CCCCOC(C)=O,0.73
CCCCOC=O,0.7
CCCO,2.22
CCCOC(=O)CC,0.67
CCCOC(C)=O,0.59
CCCOC=O,0.52
CCOC(=O)C(=O)OCC,2.02
CCOC(=O)C(C)O,1.26
CCOC(=O)CC(=O)OCC,2.15
CCOC(=O)CCC(=O)OCC,2.81
CCOC(=O)c1ccccc1,2.23
CCOC(=O)c1ccccc1C(=O)OCC,12.76
CCOCCC(=O)OCC,2.65
CCc1ccc(C)cc1,0.7
CO,0.58
COC(=O)/C=C\C(=O)OC,3.54
COC(=O)CC(C)=O,1.7
COC(=O)c1ccccc1,2.06
COC(C)=O,0.38
COCCOCCOCCO,7.27
COCCOCCOCCOCCO,3.26
C[C@@H]1CCCC[C@@H]1C,1.11
C[C@@H]1CCCC[C@H]1C,0.82
C[C@@H]1CCC[C@@H](C)C1,0.63
C[C@@H]1CCC[C@H](C)C1,0.87
C[C@H]1CC[C@@H](C)CC1,0.88
C[C@H]1CC[C@H](C)CC1,0.71
Cc1ccc(O)cc1,18.95
Cc1cccc(O)c1,16.4
Cc1ccccc1O,9.8
