       RC,       DeltaG,      Sigma,      Sum
      0.000,      0.000,      0.000,      0.000
      0.010,      0.027,      0.014,      0.027
      0.020,      0.045,      0.015,      0.072
      0.030,      0.061,      0.020,      0.133
      0.040,      0.076,      0.021,      0.209
      0.050,      0.043,      0.011,      0.252
      0.060,      0.065,      0.010,      0.317
      0.070,      0.085,      0.016,      0.402
      0.080,      0.093,      0.017,      0.495
      0.090,      0.144,      0.016,      0.639
      0.100,      0.148,      0.018,      0.787
      0.110,      0.134,      0.027,      0.921
      0.120,      0.128,      0.025,      1.049
      0.130,      0.165,      0.027,      1.214
      0.140,      0.174,      0.031,      1.388
      0.150,      0.189,      0.009,      1.577
      0.160,      0.195,      0.011,      1.772
      0.170,      0.215,      0.013,      1.987
      0.180,      0.231,      0.015,      2.218
      0.190,      0.247,      0.017,      2.465
      0.200,      0.249,      0.014,      2.714
      0.210,      0.236,      0.022,      2.950
      0.220,      0.235,      0.020,      3.185
      0.230,      0.274,      0.010,      3.459
      0.240,      0.289,      0.008,      3.748
      0.250,      0.300,      0.013,      4.048
      0.260,      0.313,      0.014,      4.361
      0.270,      0.327,      0.014,      4.688
      0.280,      0.331,      0.013,      5.019
      0.290,      0.326,      0.017,      5.345
      0.300,      0.332,      0.017,      5.677
      0.310,      0.320,      0.011,      5.997
      0.320,      0.330,      0.009,      6.327
      0.330,      0.347,      0.012,      6.674
      0.340,      0.349,      0.018,      7.023
      0.350,      0.333,      0.015,      7.356
      0.360,      0.338,      0.014,      7.694
      0.370,      0.393,      0.013,      8.087
      0.380,      0.403,      0.014,      8.490
      0.390,      0.382,      0.013,      8.872
      0.400,      0.391,      0.014,      9.263
      0.410,      0.341,      0.015,      9.604
      0.420,      0.343,      0.013,      9.947
      0.430,      0.370,      0.019,     10.317
      0.440,      0.372,      0.016,     10.689
      0.450,      0.388,      0.015,     11.077
      0.460,      0.398,      0.017,     11.475
      0.470,      0.311,      0.011,     11.786
      0.480,      0.313,      0.012,     12.099
      0.490,      0.357,      0.019,     12.456
      0.500,      0.361,      0.022,     12.817
      0.510,      0.290,      0.018,     13.107
      0.520,      0.291,      0.019,     13.398
      0.530,      0.363,      0.013,     13.761
      0.540,      0.364,      0.012,     14.125
      0.550,      0.364,      0.016,     14.489
      0.560,      0.355,      0.018,     14.844
      0.570,      0.288,      0.017,     15.132
      0.580,      0.281,      0.018,     15.413
      0.590,      0.355,      0.021,     15.768
      0.600,      0.347,      0.020,     16.115
      0.610,      0.272,      0.019,     16.387
      0.620,      0.254,      0.018,     16.641
      0.630,      0.213,      0.013,     16.854
      0.640,      0.202,      0.015,     17.056
      0.650,      0.158,      0.019,     17.214
      0.660,      0.151,      0.017,     17.365
      0.670,      0.086,      0.016,     17.451
      0.680,      0.082,      0.014,     17.533
      0.690,      0.136,      0.018,     17.669
      0.700,      0.133,      0.019,     17.802
      0.710,      0.110,      0.020,     17.912
      0.720,      0.107,      0.020,     18.019
      0.730,      0.175,      0.018,     18.194
      0.740,      0.170,      0.019,     18.364
      0.750,      0.017,      0.017,     18.381
      0.760,      0.012,      0.016,     18.393
      0.770,      0.173,      0.021,     18.566
      0.780,      0.171,      0.023,     18.737
      0.790,      0.130,      0.028,     18.867
      0.800,      0.122,      0.029,     18.989
      0.810,      0.105,      0.015,     19.094
      0.820,      0.117,      0.013,     19.211
      0.830,      0.222,      0.023,     19.433
      0.840,      0.241,      0.025,     19.674
      0.850,      0.259,      0.021,     19.933
      0.860,      0.289,      0.022,     20.222
      0.870,      0.043,      0.036,     20.265
      0.880,      0.051,      0.039,     20.316
      0.890,      0.142,      0.030,     20.458
      0.900,      0.164,      0.031,     20.622
      0.910,      0.247,      0.034,     20.869
      0.920,      0.261,      0.037,     21.130
      0.930,      0.284,      0.038,     21.414
      0.940,      0.291,      0.039,     21.705
      0.950,      0.330,      0.031,     22.035
      0.960,      0.322,      0.029,     22.357
      0.970,      0.194,      0.077,     22.551
      0.980,      0.112,      0.077,     22.663
      0.990,      0.123,      0.039,     22.786
      1.000,      0.083,      0.043,     22.869
